GDGT-0,GDGT-1,GDGT-2,GDGT-3,Crenarchaeol,Cren',Sea Surface Temp
0.4052,0.0704,0.0466,0.0037,0.4606,0.0135,12.4
0.434,0.0846,0.0547,0.0035,0.4062,0.0169,12.2
0.4304,0.0617,0.0385,0.0038,0.451,0.0147,12.4
0.472,0.0255,0.0109,0.0021,0.4842,0.0054,11.8
0.4682,0.034,0.0127,0.0032,0.4773,0.0047,6.3
0.4634,0.0432,0.0123,0.005,0.4733,0.0029,6.3
0.5899,0.0864,0.0405,0.0052,0.2695,0.0085,4.5
0.4653,0.0275,0.0153,0.0055,0.4781,0.0083,11.8
0.5034,0.0266,0.0123,0.0042,0.4472,0.0063,11.8
0.4857,0.0611,0.0373,0.0035,0.4023,0.01,9.6
0.4482,0.0434,0.0254,0.0116,0.4596,0.0118,13.3
0.365,0.0368,0.0218,0.0055,0.5582,0.0128,14.1
0.4465,0.0595,0.0288,0.003,0.4483,0.0139,7.8
0.3918,0.0361,0.0134,0.0053,0.5428,0.0107,13.4
0.3767,0.0369,0.0147,0.0061,0.5565,0.0091,13.8
0.3819,0.0332,0.0175,0.0035,0.5527,0.0111,14.8
0.4824,0.073,0.0388,0.004,0.3894,0.0124,6
0.4058,0.0328,0.015,0.0035,0.5319,0.0109,14.4
0.4148,0.0306,0.0141,0.0038,0.529,0.0078,14.2
0.4809,0.0507,0.0233,0.0037,0.4323,0.0092,12
0.371,0.069,0.037,0.012,0.503,0.008,18.1
0.375,0.058,0.029,0.011,0.51,0.017,17.8
0.34,0.069,0.046,0.013,0.516,0.015,18.1
0.403,0.048,0.021,0.009,0.507,0.011,18.1
0.387,0.052,0.023,0.01,0.51,0.018,18.1
0.382,0.051,0.024,0.008,0.526,0.009,18.1
0.373,0.067,0.029,0.01,0.511,0.01,18.1
0.351,0.072,0.048,0.013,0.496,0.02,18.1
0.382,0.044,0.021,0.008,0.54,0.005,18.1
0.305,0.071,0.057,0.014,0.525,0.029,18.1
0.326,0.073,0.048,0.013,0.527,0.012,18.1
0.377,0.055,0.027,0.009,0.523,0.01,18.1
0.376,0.046,0.019,0.007,0.549,0.003,18.1
0.379,0.055,0.029,0.01,0.522,0.006,18.1
0.305,0.07,0.059,0.012,0.528,0.025,18.1
0.4647,0.0628,0.0273,0.0040,0.4284,0.0127,11.5
0.3804,0.0671,0.0484,0.0114,0.4737,0.019,17.8
0.4821,0.0394,0.0176,0.0041,0.4511,0.0056,12.1
0.5328,0.0367,0.0108,0.0039,0.4104,0.0053,12.8
0.444,0.0657,0.0392,0.0045,0.4295,0.0171,13.4
0.356,0.062,0.035,0.011,0.524,0.013,18.8
0.37,0.06,0.034,0.01,0.515,0.01,18.8
0.357,0.061,0.035,0.013,0.511,0.023,18.8
0.324,0.07,0.051,0.011,0.521,0.023,18.8
